,item_skey,item_number,item_description,item_category
37,17302,1112299,3-Chlorobenzoic Acid (25 mg),Impurity
38,12898,1000485,Abacavir Related Compounds Mixture (15 mg),Impurity
39,6223,1286300,"10-Formylfolic Acid (25 mg) (L-Glutamic acid, N-[4-[[(2-amino-1,4-dihydro-4-oxo-6-pteridinyl)methyl]formylamino-]benzoyl]-)",System Suitability
40,11940,1134313,Ciprofloxacin (200 mg),Active Pharmaceutical Ingredients
41,80907,1435058,Methylprednisolone Related Compound B,Impurity
42,10475,1436006,Methylprednisolone Acetate (200 mg),Active Pharmaceutical Ingredients
43,11935,1078507,Bupivacaine Hydrochloride (300 mg),Active Pharmaceutical Ingredients
44,13952,1280009,Fluoxymesterone CIII (200 mg),Active Pharmaceutical Ingredients
45,11134,1029024,"Amitriptyline Related Compound B (25 mg) (5-[3-(dimethylamino)propyl]-10,11-dihydro-5H-dibenzo[a,d]-cyclohepten-5-ol)",Impurity
46,10505,1474005,Nortriptyline Hydrochloride (200 mg),Active Pharmaceutical Ingredients
47,8757,1414003,Methotrexate (500 mg),Active Pharmaceutical Ingredients
48,12845,1414025,"Methotrexate Related Compound B (75 mg) ((S)-2-{4-[(2,4-diaminopteridin-6-yl)methylamino]benzamido}pentanedioic acid)",Impurity
49,13267,1413999,Methotrexate System Suitability Mixture (5 mg),System Suitability
50,11218,1461003,Niacin (200 mg),Dietary Supplements
51,2008,1356756,Lamotrigine (150 mg),Active Pharmaceutical Ingredients
52,12410,1292631,Glipizide Related Compound C (15 mg) (1-cyclohexyl-3-[[4-[2-[[(6-methylpyrazin-2-yl)carbonyl]amino]ethyl]phenyl]sulfonyl]urea),Impurity
53,12266,1042962,Articaine Related Compound E (40 mg) (Methyl 3-[2-(isopropylamino)propanamido]-4-methylthiophene-2-carboxylate),Impurity
54,35156,1011878,Adrenalone Hydrochloride (25 mg),Impurity
55,1470,1287358,Gabapentin Related Compound D (10 mg) ([1-(3-Oxo-2-aza-spiro[4.5]dec-2-ylmethyl)cyclohexyl]acetic acid),Impurity
56,8916,1255001,Estrone (200 mg),Active Pharmaceutical Ingredients
57,13387,1478491,Omeprazole Related Compound F and G Mixture (25 mg),Impurity
58,6585,1378001,Medroxyprogesterone Acetate (200 mg),Active Pharmaceutical Ingredients
59,15055,1112467,4-Chlorobenzophenone (30 mg) (4-Chlorobenzophenone),Impurity
60,77710,1528534,Phentermine Related Compound C (100 mg) ((2-Methylprop-1-en-1-yl)benzene),Impurity
61,15216,1219019,"Diphenoxylate Related Compound A CI (25 mg) (1-(3-Cyano-3,3-diphenylpropyl)-4-phenylpiperidine-4-carboxylic acid)",Impurity
62,12521,1087814,Candesartan Cilexetil Related Compound A (10 mg) (Ethyl 1-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-2-ethoxybenzimidazole-7-carboxylate),Impurity
63,12519,1087803,Candesartan Cilexetil (100 mg),Active Pharmaceutical Ingredients
64,11084,1586009,Pyridostigmine Bromide (200 mg),Active Pharmaceutical Ingredients
65,9931,1605205,Ropinirole Hydrochloride (200 mg),Active Pharmaceutical Ingredients
66,6400,1287020,Furosemide Related Compound A (50 mg) (2-Chloro-4-N-furfurylamino-5-sulfamoylbenzoic Acid),Impurity
67,11062,1078711,"Buprenorphine Related Compound A CII (25 mg) ((S)-2-[17-(But-3-en-1-yl)-4,5alpha-epoxy-3-hydroxy-6-methoxy-6alpha,14-ethanomorphinan-7alpha-yl]- 3,3-dimethylbutan-2-ol)",Impurity
68,9508,1335009,Hyoscyamine Sulfate (125 mg),Active Pharmaceutical Ingredients
69,72069,1473400,"Norscopolamine (20 mg) ((1R ,2R ,4S ,5S ,7s )-3-Oxa-9-azatricyclo[3.3.1.0^2,4]nonan-7-yl (S)-3-hydroxy-2-phenylpropanoate)",Impurity
70,6180,1286027,Folic Acid Related Compound A (50 mg) (Calcium Formyltetrahydrofolate),Dietary Supplements
71,84840,1185063,Diazepam Related Compound E (25 mg) (6-Chloro-1-methyl-4-phenylquinazolin-2(1H)-one),Impurity
72,7651,1269447,Fenofibrate (200 mg),Active Pharmaceutical Ingredients
73,8314,1098195,Ceftriaxone Sodium E-Isomer (25 mg),Impurity
74,19041,1598031,Rabeprazole Related Compound B (15 mg) (2-{[(1H-benzo[d]imidazol-2-yl)sulfinyl]methyl}-4-(3-methoxypropoxy)-3-methylpyridine 1-oxide),Impurity
75,8104,1623670,Sulbactam (250 mg) (COLD SHIPMENT REQUIRED),Active Pharmaceutical Ingredients
76,13796,1623794,"Sulbactam Related Compound F (15 mg) ((2S,5R)-6,6-Dibromo-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid)",Impurity
77,8047,1033407,Ampicillin Trihydrate (200 mg),Active Pharmaceutical Ingredients
78,14289,1367561,Linezolid (200 mg),Active Pharmaceutical Ingredients
79,39715,1535959,Phthalazine (20 mg),Impurity
80,11466,1145003,Codeine Sulfate CII (250 mg),Active Pharmaceutical Ingredients
81,7076,1134153,Cilostazol (200 mg),Active Pharmaceutical Ingredients
82,7070,1134186,"Cilostazol Related Compound C (50 mg) (1-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butyl)-6-(4-(1-cyclohexyl-1H-tetrazol-5-yl)butoxy)-3,4-dihydroquinolin-2(1H)-one)",Impurity
83,9417,1239005,Ergocalciferol (30 mg/ampule; 5 ampules) (Vitamin D2),Dietary Supplements
84,65692,1379139,"Megestrol Acetate Related Compound D (20 mg) (6-Methylene-3,20-dioxopregn-4-en-17-yl acetate)",Impurity
85,17940,1269039,Ezetimibe System Suitability Mixture (20 mg),System Suitability
86,13539,1097192,"Cefadroxil Related Compound I (25 mg) ((6R,7R)-7-[(R)-2-amino-2-(4-hydroxyphenyl)acetamido]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-3-ene-2-carboxylic acid)",Impurity
87,13041,1225306,"Dorzolamide Related Compound D (30 mg) ((4S,6S)-4-Amino-6-methyl-5,6-dihydro-4H-thieno[2,3-b]thiopyran-2-sulfonamide 7,7-dioxide hydrochloride)",Impurity
88,13383,1642879,Tadalafil (200 mg),Active Pharmaceutical Ingredients
89,22139,1098253,"Cefuroxime Axetil E-isomers (15 mg) ((1RS,6R,7R)-1-Acetoxyethyl 3-[(carbamoyloxy)methyl]-7-[(E)-2-(furan-2-yl)-2-(methoxyimino)acetamido]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate)",Impurity
90,17354,1003027,Acetaminophen Related Compound B (30 mg) (N-(4-hydroxyphenyl)propanamide),Impurity
91,2014,1485216,Oxycodone Related Compound A CII (10 mg) (14-hydroxycodeinone) (COLD SHIPMENT REQUIRED),Impurity
92,12799,1314960,Hydrocodone CII (125 mg),Active Pharmaceutical Ingredients
93,11767,1478323,"Olanzapine Related Compound B (15 mg) (2-methyl-10H-thieno-[2,3-b][1,5]benzodiazepin-4[5H]-one)",Impurity
94,13073,1031570,"Amoxicillin Related Compound G (15 mg) ((2S,5R,6R)-6-{(R)-2-[(R)-2-Amino-2-(4-hydroxyphenyl)acetamido]-2-(4-hydroxyphenyl)acetamido}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid)",Impurity
95,10036,1463858,Nimodipine (125 mg),Active Pharmaceutical Ingredients
96,11325,1680007,Triamterene (200 mg),Active Pharmaceutical Ingredients
97,14207,1680029,"Triamterene Related Compound B (50 mg) (2,7-diamino-4-hydroxy-6-phenylpteridine)",Impurity
98,14677,1140407,Clonidine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
99,10783,1724532,Zidovudine Related Compound C (100 mg) (thymine),Impurity
100,13439,1064122,N-Benzyl-N-methyl-ethanolamine (3 x 0.2 mL) (2-[benzyl(methyl)amino]ethanol),Impurity
101,11220,1617000,Sorbitol (125 mg),Excipients
102,71639,1175784,Desvenlafaxine Related Compound A (25 mg) (4-[1-(Cyclohex-1-en-1-yl)-2-(dimethylamino)ethyl]phenol),Impurity
103,11003,1642212,"Sumatriptan Succinate Related Compound A (15 mg) ([3-[2-(dimethylamino)ethyl]-2-[[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]methyl]-1H-indol-5-yl]-N-methylmethanesulfonamide, succinate salt)",Impurity
104,10246,1426002,Methyldopa (500 mg),Active Pharmaceutical Ingredients
105,10078,1483152,Oxcarbazepine (100 mg),Active Pharmaceutical Ingredients
106,13494,1483174,"Oxcarbazepine Related Compound B (10 mg) (N-Acetyl-10-oxo-10,11-dihydro-5H-dibenzo[b,f]azepine-5-carboxamide)",Impurity
107,4518,1707839,Valacyclovir Hydrochloride (200 mg),Active Pharmaceutical Ingredients
108,14676,1140338,Clonazepam Related Compound B (25 mg) (2-Amino-2'-chloro-5-nitrobenzophenone),Impurity
109,14570,1140305,Clonazepam CIV (200 mg),Active Pharmaceutical Ingredients
110,15610,1612914,Sitagliptin System Suitability Mixture (20 mg) (Sitagliptin Phosphate containing about 0.2% of S-enantiomer),System Suitability
111,13898,1539905,Pioglitazone Hydrochloride (100 mg),Active Pharmaceutical Ingredients
112,12565,1000532,"Acarbose System Suitability Mixture (2 mg) (COLD SHIPMENT REQUIRED) (A mixture containing acarbose and impurities A, B, C, D, E, F and G)",Product Specific Reference Standard
113,13512,1302134,Guanidine Hydrochloride (100 mg),Excipients
114,11730,1012065,Acyclovir (300 mg),Active Pharmaceutical Ingredients
115,9398,1241506,Ergotamine Tartrate (150 mg) (List Chemical),Active Pharmaceutical Ingredients
116,11692,1553768,"Pramipexole Related Compound A (15 mg) ((S)-4,5,6,7-Tetrahydrobenzothiazole-2,6-diamine)",Impurity
117,3102,1283459,"Fosinopril Related Compound E (15 mg) ((4S)-4-phenyl-1-[(R)-[(S)-1-hydroxy-2-methyl-propoxy](4-phenylbutyl)phospinyl]acetyl-L-proline propionate (ester), sodium salt)",Impurity
118,4317,1283460,"Fosinopril Related Compound F (15 mg) ((4S)-4-cyclohexyl-1-[(R)-[(S)-1-hydroxypropoxy](4-phenylbutyl)phosphinyl]acetyl-L-proline propionate(ester), sodium salt)",Impurity
119,14061,1494942,"Pantoprazole Related Compound E (20 mg) (6,6'-bis(difluoromethoxy)-2,2'-bis[[(3,4-dimethoxypyridin-2-yl)methyl]sulfinyl]-1H,1'H-5,5'-bibenzimidazolyl)",Impurity
120,12003,1269902,Fentanyl CII (100 mg),Active Pharmaceutical Ingredients
121,13909,1269979,Fentanyl Related Compound G CI (10 mg) (N-(1-Phenethylpiperidin-4-yl)-N-phenylacetamide),Impurity
122,11598,1443715,"Midodrine Related Compound A (40 mg) (1-(2,5 Dimethoxyphenyl)-2-aminoethanol)",Impurity
123,4539,1358810,"Levalbuterol Related Compound C (30 mg) (alpha-[{(1,1-Dimethylethyl)amino}methyl]-4-hydroxy-3-(methoxymethyl)-benzenemethanol)",Impurity
124,74423,1667643,Tigecycline (300 mg) (INTERNATIONAL COLD CHAIN SHIPMENT REQUIRED),Active Pharmaceutical Ingredients
125,13459,1667665,"Tigecycline Related Compound B (25 mg) ((4S,4aS,5aR,12aS)-9-Amino-4,7-bis(dimethylamino)-3,10,12,12a-tetrahydroxy-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide hydrochloride)",Impurity
126,6553,1270402,Finasteride (200 mg),Active Pharmaceutical Ingredients
127,13340,1134029,"Ciclopirox Related Compound A (25 mg) (3-Cyclohexyl-4,5-dihydro-5-methyl-5-isoxazolyl acetic acid)",Impurity
128,14445,1134040,Ciclopirox Related Compound B (25 mg) (6-Cyclohexyl-4-methyl-2-pyrone),Impurity
129,9119,1570326,"Propafenone Related Compound B (50 mg) (RS,E)-1-[2-[2-Hydroxy-3-(propylamino)propoxy]phenyl]-3-phenylprop-2-en-1-one)",Impurity
130,10117,1617430,Sotalol Related Compound C (50 mg) (N-[4-[2-[(1-Methylethyl)amino]ethyl]phenyl]methanesulfonamide monohydrochloride),Impurity
131,9253,1292347,"Glimepiride Related Compound D (20 mg) (Glimepiride 3-isomer, or 1-[[m-[2-(3-Ethyl-4-methyl-2-oxo-3-pyrroline-1-carboxamido)ethyl]phenyl]sulfonyl]-3-(trans-4-methylcyclohexyl)urea)",Impurity
132,8133,1292325,"Glimepiride Related Compound B (20 mg) (glimepiride sulfonamide, or 3-Ethyl-4-methyl-2-oxo-N-(4-sulfamoylphenethyl)-2,5-dihydro-1H-pyrrole-1-carboxamide)",Impurity
133,11524,1012644,"Albuterol Related Compound A (25 mg) (4-[2-[(1,1-dimethylethyl)amino]-1-hydroxyethyl]-2-methylphenol sulfate)",Impurity
134,11742,1217909,Diphenhydramine Citrate (200 mg),Active Pharmaceutical Ingredients
135,14712,1424209,Methylbenzhydrol (50 mg),Impurity
136,15437,1231852,"Econazole Related Compound C (15 mg) (1-(4-Chlorobenzyl)-3-[(2RS)-2-[(4-chlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethyl]imidazolium chloride)",Impurity
137,6053,1269163,"Famciclovir System Suitability Mixture (20 mg) (Mixture of Famciclovir, Propionyl famciclovir and 6-Chloro famciclovir)",System Suitability
138,13963,1269141,Famciclovir Related Compound F (25 mg) (2-Amino-6-chloropurine),Impurity
139,6148,1708795,Valsartan Related Compound C (10 mg) (N-Valeryl-N-{[2'-(1H-tetrazole-5-yl)biphenyl-4-yl]methyl}-L-valine benzyl ester),Impurity
140,8262,1604009,Rifampin (300 mg),Active Pharmaceutical Ingredients
141,73710,1604199,Rifampin-N-Oxide (25 mg),Impurity
142,9839,1048619,Benazepril Hydrochloride (125 mg),Active Pharmaceutical Ingredients
143,7244,1048674,"Benazepril Related Compound F (15 mg) (tert-Butyl-3-amino-2,3,4,5-tetrahydro-2-oxo-1H-1-(3S)-benzazepine-1-acetic acid)",Impurity
144,9245,1048630,"Benazepril Related Compound B (15 mg) (2-[(S)-3-{[(R)-1-Ethoxy-1-oxo-4-phenylbutan-2-yl]amino}-2-oxo-2,3,4,5-tetrahydro-1H-benzo[b]azepin-1-yl]acetic acid hydrochloride)",Impurity
145,14211,1181007,Dextromethorphan Hydrobromide (500 mg),Active Pharmaceutical Ingredients
146,12716,1224562,Docetaxel Identification (50 mg),Other Compendial Uses
147,39782,1724383,"Zaleplon Related Compound C (25 mg) (7-[3-(N-ethylacetamido)phenyl]pyrazolo[1,5-a]pyrimidine-3-carboxamide)",Impurity
148,9697,1724361,Zaleplon Related Compound A (15 mg) ((E)-N-(3-[3-(dimethylamino)acryloyl]phenyl)-N-ethylacetamide),Impurity
149,14296,1046158,Azelastine Hydrochloride (300 mg),Active Pharmaceutical Ingredients
150,9947,1354251,Itraconazole (100 mg),Active Pharmaceutical Ingredients
151,12526,1724441,"Ziprasidone Related Compound C (10 mg) (5,5'-Bis(2-(4-(benzo[d]isothiazol-3-yl)piperazin-1-yl)ethyl)-6,6'-dichloro-3-hydroxy-3,3'-biindoline-2,2'-dione)",Impurity
152,63520,1724474,Ziprasidone Related Compound F (15 mg) (Sodium 2-(2-amino-5-{2-[4-(benzo[d]isothiazol-3-yl)piperazin-1-yl]ethyl}-4-chlorophenyl)acetate monohydrate),Impurity
153,7870,1724419,Ziprasidone Related Compound A (10 mg) (3-(Piperazin-1-yl)benzo[d]isothiazole monohydrochloride),Impurity
154,87473,1097964,Cefprozil Related Compound F,Impurity
155,11593,1164700,Daunorubicin Hydrochloride (200 mg),Active Pharmaceutical Ingredients
156,11169,1576005,Propranolol Hydrochloride (200 mg),Active Pharmaceutical Ingredients
157,10395,1353113,"Diluted Isosorbide Mononitrate Related Compound A (150 mg) (1,4:3,6-Dianhydro-D-glucitol 2-nitrate in lactose)",Impurity
158,2863,1548349,Potassium Nitrate (5 g) (AS),General Chapters
159,11895,1646009,Testosterone CIII (125 mg),Active Pharmaceutical Ingredients
160,16117,1646097,"Testosterone Related Compound I (15 mg) (17beta-Hydroxyandrosta-4,6-dien-3-one)",Impurity
161,17432,1492211,"Palonosetron Enantiomer (15 mg) ((3aR)-2-[(3R)-Quinuclidin-3-yl]-2,3,3a,4,5,6-hexahydro-1H-benzo[de]isoquinolin-1-one hydrochloride)",Impurity
162,15237,1492233,"Palonosetron Related Compound B (15 mg) ((3S)-3-(1-Oxo-5,6-dihydro-1H-benzo[de]isoquinolin-2(4H)-yl)quinuclidine 1-oxide)",Impurity
163,11415,1295516,Glyburide Related Compound A (25 mg) (4-[2-(5-chloro-2-methoxybenzamido)ethyl]benzenesulfonamide),Impurity
164,70608,1248218,Erythropoietin (100 ug),Product Specific Reference Standard
165,8287,1612594,"Sevoflurane Related Compound C (0.2 mL) (1,1,1,3,3,3-hexafluoro-2-propanol)",Impurity
166,84736,1009049,Acetylcysteine Related Compound D,Impurity
167,10698,1530503,L-Phenylalanine (200 mg),Dietary Supplements
168,10218,1356916,Lansoprazole (150 mg),Active Pharmaceutical Ingredients
169,11774,1042500,L-Arginine (200 mg),Dietary Supplements
170,19524,1598278,Raltegravir Potassium (200 mg),Active Pharmaceutical Ingredients
171,62180,1220561,"Dipyridamole Related Compound F (25 mg) (2,2',2'',2'''-({4-[(2-Hydroxyethyl)amino]-8-(piperidin-1-yl)pyrimido[5,4-d]pyrimidine-2,6-diyl}bis(azanetriyl))tetraethanol)",Impurity
172,6974,1268003,Ethynodiol Diacetate (200 mg),Active Pharmaceutical Ingredients
173,13993,1110009,Chlordiazepoxide Hydrochloride CIV (200 mg),Active Pharmaceutical Ingredients
174,13017,1193265,Diethylene Glycol (5 x 0.2 mL),Excipients
175,10960,1578554,"Prostaglandin B1 (25 mg) ((13E,15S)-15-Hydroxy-9-oxoprosta-8(12),13-dien-1-oic Acid)",Impurity
176,15722,1398020,Methadone Related Compound B CII (30 mg),Impurity
177,12399,1048277,Balsalazide Related Compound B (25 mg) ((E)-5-((m-[(2-carboxyethyl)carbamoyl]phenyl)azo)-2-salicylic acid),Impurity
178,12393,1048266,"Balsalazide Related Compound A (100 mg) ((E)-5-[(p-carboxyphenyl)azo]-2-salicylic acid, disodium salt)",Impurity
179,74003,1138493,"Clocortolone (25 mg) (9-Chloro-6alpha-fluoro-11beta,21-dihydroxy-16alpha-methylpregna-1,4-diene-3,20-dione)",Active Pharmaceutical Ingredients
180,15846,1356552,Ketoprofen Related Compound C (20 mg) (2-(3-carboxyphenyl)propionic acid),Impurity
181,8971,1409003,Methenamine (500 mg),Active Pharmaceutical Ingredients
182,78919,1152011,Cyanocobalamin (Crystalline) (2 x 150 mg),Dietary Supplements
183,36534,1133875,Cidofovir Related Compound A (15 mg) (1-[(S)-3-Hydroxy-2-(O-ethylphosphonomethoxy)propyl]cytosine),Impurity
184,12789,1672687,Trandolapril (125 mg),Active Pharmaceutical Ingredients
185,8636,1050009,Benoxinate Hydrochloride (200 mg),Active Pharmaceutical Ingredients
186,17353,1277037,"Fluorescein Related Compound C (25 mg) (2-(2,4-Dihydroxybenzoyl)benzoic acid)",Impurity
187,6572,1162148,Cytosine (100 mg),Active Pharmaceutical Ingredients
188,11489,1347642,"Irinotecan Related Compound C (10 mg) (11-Ethyl-4-hydroxy-4-methyl-3,14-dioxo-3,4,12,14-tetrahydro-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinolin-9-yl (1,4'-bipiperidine)- 1'-carboxylate hydrochloride)",Impurity
189,7728,1481215,"Oxaliplatin Related Compound A (100 mg) (Ethanedioic acid, dihydrate)",Impurity
190,10591,1430509,3-O-Methylmethyldopa (50 mg),Impurity
191,11041,1505007,Pentazocine CIV (500 mg),Active Pharmaceutical Ingredients
192,6336,1012780,Alendronate Sodium (200 mg),Active Pharmaceutical Ingredients
193,13965,1602717,"Ribavirin Related Compound A (15 mg) (1-beta-D-ribofuranosyl-1H-1,2,4-triazole-3-carboxylic acid)",Impurity
194,11226,1466506,"Diluted Nitroglycerin (5 ampules, approx. 200 mg of a 0.974% solution in propylene glycol each) (COLD SHIPMENT REQUIRED)",Active Pharmaceutical Ingredients
195,13351,1323021,"Hydromorphone Related Compound A CII (10 mg) (7,8-didehydro-4,5alpha-epoxy-3-hydroxy-17-methylmorphinan-6-one perchlorate)",Impurity
196,60701,1653060,"Theophylline Related Compound F (25 mg) (7-(2-Hydroxyethyl)-1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione)",Impurity
197,11384,1664000,Thiotepa (500 mg),Active Pharmaceutical Ingredients
198,11515,1151006,Crotamiton (200 mg),Active Pharmaceutical Ingredients
199,5380,1229409,Drospirenone (200 mg),Active Pharmaceutical Ingredients
200,6898,1285750,Flurbiprofen (200 mg),Active Pharmaceutical Ingredients
201,15731,1570439,2-Propanol System Suitability (3 x 1 mL),Food Ingredients
202,3837,1268772,Metomidate Hydrochloride (50 mg) (Methyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate hydrochloride),Impurity
203,60026,1000576,Acamprosate Related Compound B (20 mg),Impurity
204,13874,1572536,"Propofol Related Compound A (25 mg) (3,3'-5,5'-tetraisopropyldiphenol)",Impurity
205,3298,1471925,Norgestimate Related Compound A (25 mg) (Levonorgestrel Acetate),Impurity
206,10081,1471914,Norgestimate (200 mg),Active Pharmaceutical Ingredients
207,11633,1157002,Cyclophosphamide (500 mg),Impurity
208,13037,1074042,"Bisacodyl Related Compound B (20 mg) (2,4'-(Pyridin-2-ylmethylene)diphenol)",Impurity
209,11626,1140509,Clorazepate Dipotassium CIV (125 mg),Active Pharmaceutical Ingredients
210,10981,1287777,Galantamine Hydrobromide Related Compounds Mixture (25 mg),Impurity
211,11753,1329006,Hydroxyprogesterone Caproate (200 mg),Active Pharmaceutical Ingredients
212,15157,1179344,"Levomedetomidine (25 mg)  ((R)-4-[1-(2,3-Dimethylphenyl)ethyl]-1H-imidazole hydrochloride)  (25 mg)",Impurity
213,10901,1600846,Repaglinide Related Compound C (25 mg) ((S)-2-Ethoxy-4-[2-[[2-phenyl-1-[2-(1-piperidinyl)phenyl]ethyl]amino]-2-oxoethyl] benzoic acid),Impurity
214,9464,1336205,Ifosfamide (500 mg),Active Pharmaceutical Ingredients
215,9635,1273841,"Flumazenil Related Compound C (500 mg) (N,N-Dimethylformamide diethyl acetal)",Impurity
216,15499,1533024,Phenylephrine Related Compound C (30 mg) (1-(3-Hydroxyphenyl)-2-(methylamino)ethan-1-one hydrochloride),Impurity
217,10754,1054000,Benzocaine (500 mg),Active Pharmaceutical Ingredients
218,16174,1510925,"Perindopril Related Compound D (25 mg) ((S)-2-{(3S,5aS,9aS,10aR)-3-methyl-1,4-dioxodecahydropyrazino[1,2-a]indol-2(1H)-yl}pentanoic acid)",Impurity
219,11498,1448016,"Morphine Related Compound A CI (20 mg) (7,8-Didehydro-4,5alpha-epoxy-17-methylmorphinan-3,6alpha-diol, N-oxide)",Impurity
220,1957,1482014,Oxandrolone Related Compound A CIII (20 mg) (17beta-hydroxy-17alpha-methyl-2-oxa-5alpha-androst-7-en-3-one),Impurity
221,4883,1298128,"Granisetron Related Compound B (15 mg) (N-[(1R,3r,5S)-9-methyl-9-azabicyclo[3.3.1]non-3-yl]-1H-indazole-3-carboxamide)",Impurity
222,8149,1298140,Granisetron Related Compound D (15 mg) (1-Methyl-1H-indazole-3-carboxylic acid),Impurity
223,6669,1370702,Loxapine Succinate (125 mg),Active Pharmaceutical Ingredients
224,10966,1631500,Sulfamethoxazole N4-Glucoside (25 mg) (4-(beta-D-glucopyranosylamino)-N-(5-methyl-3-isoxazolyl)-benzenesulfonamide),Impurity
225,5330,1692527,"Trimethoprim Related Compound B (25 mg) ((2,4-diaminopyrimidin-5-yl)(3,4,5-trimethoxyphenyl)methanone)",Impurity
226,36809,1000829,Abiraterone System Suitability Mixture (20 mg),System Suitability
227,2674,1012495,Beta Alanine (100 mg),Food Ingredients
228,16328,1460703,Nevirapine Anhydrous (100 mg),Active Pharmaceutical Ingredients
229,9452,1329800,Hydroxypropyl Cellulose (500 mg),Excipients
230,11263,1613509,Sodium Ascorbate (200 mg),Dietary Supplements
